id,deputy_name,consignment_name,url,income_sum
1055893,Малов Николай Владимирович,«ЕДИНАЯ РОССИЯ»,http://duma.gov.ru/duma/persons/1055893/,5588812
99112769,Земцов Николай Георгиевич,«ЕДИНАЯ РОССИЯ»,http://duma.gov.ru/duma/persons/99112769/,5588665
99110941,Голушко Андрей Иванович,«ЕДИНАЯ РОССИЯ»,http://duma.gov.ru/duma/persons/99110941/,5585498
99111939,Свинцов Андрей Николаевич,ЛДПР,http://duma.gov.ru/duma/persons/99111939/,5584856
99112032,Васильев Александр Николаевич,«ЕДИНАЯ РОССИЯ»,http://duma.gov.ru/duma/persons/99112032/,5576352
99112759,Дерябкин Виктор Ефимович,«ЕДИНАЯ РОССИЯ»,http://duma.gov.ru/duma/persons/99112759/,5575837
99112758,Дамдинов Алдар Валерьевич,«ЕДИНАЯ РОССИЯ»,http://duma.gov.ru/duma/persons/99112758/,5573985
99112746,Ветлужских Андрей Леонидович,«ЕДИНАЯ РОССИЯ»,http://duma.gov.ru/duma/persons/99112746/,5572341
1055916,Моляков Игорь Юрьевич,СПРАВЕДЛИВАЯ РОССИЯ,http://duma.gov.ru/duma/persons/1055916/,5571157
99112840,Пятикоп Александр Иванович,«ЕДИНАЯ РОССИЯ»,http://duma.gov.ru/duma/persons/99112840/,5569412
99111791,Белоусов Вадим Владимирович,СПРАВЕДЛИВАЯ РОССИЯ,http://duma.gov.ru/duma/persons/99111791/,5568267
99112483,Макиев Зураб Гайозович,«ЕДИНАЯ РОССИЯ»,http://duma.gov.ru/duma/persons/99112483/,5566256
1055907,Менделевич Борис Давыдович,«ЕДИНАЯ РОССИЯ»,http://duma.gov.ru/duma/persons/1055907/,5564524
99112839,Пушкина Оксана Викторовна,«ЕДИНАЯ РОССИЯ»,http://duma.gov.ru/duma/persons/99112839/,5561649
1055890,Пирог Дмитрий Юрьевич,«ЕДИНАЯ РОССИЯ»,http://duma.gov.ru/duma/persons/1055890/,5560443
99112728,Белик Дмитрий Анатольевич,«ЕДИНАЯ РОССИЯ»,http://duma.gov.ru/duma/persons/99112728/,5553933
99112799,Литовченко Анатолий Григорьевич,«ЕДИНАЯ РОССИЯ»,http://duma.gov.ru/duma/persons/99112799/,5550284
99112890,Шолохов Александр Михайлович,«ЕДИНАЯ РОССИЯ»,http://duma.gov.ru/duma/persons/99112890/,5544395
99112485,Вострецов Сергей Алексеевич,«ЕДИНАЯ РОССИЯ»,http://duma.gov.ru/duma/persons/99112485/,5543554
99112031,Пинский Виктор Витальевич,«ЕДИНАЯ РОССИЯ»,http://duma.gov.ru/duma/persons/99112031/,5542797
99112844,Рыжак Николай Иванович,СПРАВЕДЛИВАЯ РОССИЯ,http://duma.gov.ru/duma/persons/99112844/,5524446
99112037,Лебедев Олег Александрович,КПРФ,http://duma.gov.ru/duma/persons/99112037/,5514308
99109653,Азимов Рахим Азизбоевич,«ЕДИНАЯ РОССИЯ»,http://duma.gov.ru/duma/persons/99109653/,5507046
99112895,Эмиргамзаев Абдулгамид Гасанович,«ЕДИНАЯ РОССИЯ»,http://duma.gov.ru/duma/persons/99112895/,5502125
1055896,Яхнюк Сергей Васильевич,«ЕДИНАЯ РОССИЯ»,http://duma.gov.ru/duma/persons/1055896/,5488357
99109921,Чижов Сергей Викторович,«ЕДИНАЯ РОССИЯ»,http://duma.gov.ru/duma/persons/99109921/,5485767
99111543,Калашников Леонид Иванович,КПРФ,http://duma.gov.ru/duma/persons/99111543/,5465595
99100862,Игошин Игорь Николаевич,«ЕДИНАЯ РОССИЯ»,http://duma.gov.ru/duma/persons/99100862/,5465518
99111992,Умаханов Умахан Магомедгаджиевич,«ЕДИНАЯ РОССИЯ»,http://duma.gov.ru/duma/persons/99111992/,5456455
99112797,Ламейкин Дмитрий Викторович,«ЕДИНАЯ РОССИЯ»,http://duma.gov.ru/duma/persons/99112797/,5453334
99113129,Ионин Дмитрий Александрович,СПРАВЕДЛИВАЯ РОССИЯ,http://duma.gov.ru/duma/persons/99113129/,5450385
99100640,Арефьев Николай Васильевич,КПРФ,http://duma.gov.ru/duma/persons/99100640/,5446510
99112723,Бальбек Руслан Исмаилович,«ЕДИНАЯ РОССИЯ»,http://duma.gov.ru/duma/persons/99112723/,5432094
99112826,Палкин Андрей Васильевич,«ЕДИНАЯ РОССИЯ»,http://duma.gov.ru/duma/persons/99112826/,5428362
